Date,Close
10/1/2012 16:00:00,56.44
10/2/2012 16:00:00,57.28
10/3/2012 16:00:00,57.76
10/4/2012 16:00:00,59.39
10/5/2012 16:00:00,59.42
10/8/2012 16:00:00,58.49
10/9/2012 16:00:00,58.48
10/10/2012 16:00:00,57
10/11/2012 16:00:00,56.88
10/12/2012 16:00:00,53.53
10/15/2012 16:00:00,53.24
10/16/2012 16:00:00,53.29
10/17/2012 16:00:00,53.95
10/18/2012 16:00:00,52.63
10/19/2012 16:00:00,50.24
10/22/2012 16:00:00,49.87
10/23/2012 16:00:00,49.63
10/24/2012 16:00:00,49.5
10/25/2012 16:00:00,50.11
10/26/2012 16:00:00,49.56
10/31/2012 16:00:00,48.28
11/1/2012 16:00:00,50.48
11/2/2012 16:00:00,45.01
11/5/2012 16:00:00,46.41
11/6/2012 16:00:00,46.15
11/7/2012 16:00:00,45.53
11/8/2012 16:00:00,44.61
11/9/2012 16:00:00,45.01
11/12/2012 16:00:00,44
11/13/2012 16:00:00,44.1
11/14/2012 16:00:00,42.16
11/15/2012 16:00:00,40.66
11/16/2012 16:00:00,41.22
11/19/2012 16:00:00,41.43
11/20/2012 16:00:00,42.16
11/21/2012 16:00:00,41.11
11/23/2012 16:00:00,41.46
11/26/2012 16:00:00,40.5
11/27/2012 16:00:00,39.98
11/28/2012 16:00:00,39.53
11/29/2012 16:00:00,39.74
11/30/2012 16:00:00,39.79
12/3/2012 16:00:00,39.08
12/4/2012 16:00:00,39.49
12/5/2012 16:00:00,39.18
12/6/2012 16:00:00,39.1
12/7/2012 16:00:00,38.88
12/10/2012 16:00:00,40.25
12/11/2012 16:00:00,41.84
12/12/2012 16:00:00,42.25
12/13/2012 16:00:00,42.15
12/14/2012 16:00:00,41.79
12/17/2012 16:00:00,41.81
12/18/2012 16:00:00,43.33
12/19/2012 16:00:00,43.02
12/20/2012 16:00:00,43.34
12/21/2012 16:00:00,43.04
12/24/2012 16:00:00,42.49
12/26/2012 16:00:00,41.75
12/27/2012 16:00:00,41.76
12/28/2012 16:00:00,40.94
12/31/2012 16:00:00,41.9
1/2/2013 16:00:00,43.65
1/3/2013 16:00:00,45.15
1/4/2013 16:00:00,45.85
1/7/2013 16:00:00,47.29
1/8/2013 16:00:00,48.5
1/9/2013 16:00:00,48.25
1/10/2013 16:00:00,46.8
1/11/2013 16:00:00,47.31
1/14/2013 16:00:00,47.34
1/15/2013 16:00:00,47.08
1/16/2013 16:00:00,46.45
1/17/2013 16:00:00,46.79
1/18/2013 16:00:00,46.31
1/22/2013 16:00:00,47.07
1/23/2013 16:00:00,46.5
1/24/2013 16:00:00,47.32
1/25/2013 16:00:00,46.85
1/28/2013 16:00:00,45.92
1/29/2013 16:00:00,46.39
1/30/2013 16:00:00,44.65
1/31/2013 16:00:00,44.78
2/1/2013 16:00:00,45.44
2/4/2013 16:00:00,44.63
2/5/2013 16:00:00,45.6
2/6/2013 16:00:00,45.86
2/7/2013 16:00:00,45.65
2/8/2013 16:00:00,46
2/11/2013 16:00:00,45.7
2/12/2013 16:00:00,45.89
2/13/2013 16:00:00,46.48
2/14/2013 16:00:00,45.66
2/15/2013 16:00:00,45.61
2/19/2013 16:00:00,46.52
2/20/2013 16:00:00,45.44
2/21/2013 16:00:00,44.82
2/22/2013 16:00:00,45.91
2/25/2013 16:00:00,44.86
2/26/2013 16:00:00,44.18
2/27/2013 16:00:00,46.97
2/28/2013 16:00:00,46.82
3/1/2013 16:00:00,46.17
3/4/2013 16:00:00,46.31
3/5/2013 16:00:00,48.33
3/6/2013 16:00:00,49.51
3/7/2013 16:00:00,50.17
3/8/2013 16:00:00,52.81
3/11/2013 16:00:00,52.55
3/12/2013 16:00:00,52.41
3/13/2013 16:00:00,52.77
3/14/2013 16:00:00,52.79
3/15/2013 16:00:00,52.31
3/18/2013 16:00:00,51.37
3/19/2013 16:00:00,51.9
3/20/2013 16:00:00,52.48
3/21/2013 16:00:00,52.24
3/22/2013 16:00:00,53.74
3/25/2013 16:00:00,54.26
3/26/2013 16:00:00,54.34
3/27/2013 16:00:00,54.83
3/28/2013 16:00:00,54.97
4/1/2013 16:00:00,54
4/2/2013 16:00:00,53.93
4/3/2013 16:00:00,52.63
4/4/2013 16:00:00,52.95
4/5/2013 16:00:00,53.23
4/8/2013 16:00:00,52.74
4/9/2013 16:00:00,52.6
4/10/2013 16:00:00,54.84
4/11/2013 16:00:00,54.83
4/12/2013 16:00:00,55.74
4/15/2013 16:00:00,54.06
4/16/2013 16:00:00,54.39
4/17/2013 16:00:00,54.04
4/18/2013 16:00:00,52.87
4/19/2013 16:00:00,85.6
4/22/2013 16:00:00,82.33
4/23/2013 16:00:00,83.53
4/24/2013 16:00:00,81.05
4/25/2013 16:00:00,80.32
4/26/2013 16:00:00,79.02
4/29/2013 16:00:00,78.33
4/30/2013 16:00:00,76.82
5/1/2013 16:00:00,76.83
5/2/2013 16:00:00,77.72
5/3/2013 16:00:00,75.99
5/6/2013 16:00:00,77.25
5/7/2013 16:00:00,76.4
5/8/2013 16:00:00,75.43
5/9/2013 16:00:00,76.78
5/10/2013 16:00:00,80.43
5/13/2013 16:00:00,80.15
5/14/2013 16:00:00,81.01
5/15/2013 16:00:00,79.42
5/16/2013 16:00:00,77.89
5/17/2013 16:00:00,79.49
5/20/2013 16:00:00,77.38
5/21/2013 16:00:00,79.47
5/22/2013 16:00:00,78.43
5/23/2013 16:00:00,78.48
5/24/2013 16:00:00,78.4
5/28/2013 16:00:00,78.02
5/29/2013 16:00:00,78.39
5/30/2013 16:00:00,83.14
5/31/2013 16:00:00,80.33
