Date,Close
10/1/2012 16:00:00,31.63
10/2/2012 16:00:00,31.67
10/3/2012 16:00:00,31.68
10/4/2012 16:00:00,32.01
10/5/2012 16:00:00,32.05
10/8/2012 16:00:00,32.09
10/9/2012 16:00:00,31.89
10/10/2012 16:00:00,32
10/11/2012 16:00:00,32.11
10/12/2012 16:00:00,32.09
10/15/2012 16:00:00,32.32
10/16/2012 16:00:00,32.47
10/17/2012 16:00:00,32.75
10/18/2012 16:00:00,32.98
10/19/2012 16:00:00,32.53
10/22/2012 16:00:00,32.58
10/23/2012 16:00:00,32.3
10/24/2012 16:00:00,32.16
10/25/2012 16:00:00,32.69
10/26/2012 16:00:00,32.54
10/31/2012 16:00:00,32.74
11/1/2012 16:00:00,33
11/2/2012 16:00:00,32.17
11/5/2012 16:00:00,32.28
11/6/2012 16:00:00,32.23
11/7/2012 16:00:00,31.92
11/8/2012 16:00:00,31.65
11/9/2012 16:00:00,31.82
11/12/2012 16:00:00,31.81
11/13/2012 16:00:00,31.55
11/14/2012 16:00:00,31.08
11/15/2012 16:00:00,30.96
11/16/2012 16:00:00,31.43
11/19/2012 16:00:00,31.62
11/20/2012 16:00:00,31.82
11/21/2012 16:00:00,32.11
11/23/2012 16:00:00,32.36
11/26/2012 16:00:00,32.04
11/27/2012 16:00:00,31.91
11/28/2012 16:00:00,32.37
11/29/2012 16:00:00,32.56
11/30/2012 16:00:00,32.57
12/3/2012 16:00:00,32.52
12/4/2012 16:00:00,32.63
12/5/2012 16:00:00,33.52
12/6/2012 16:00:00,33.68
12/7/2012 16:00:00,34.12
12/10/2012 16:00:00,34.33
12/11/2012 16:00:00,34
12/12/2012 16:00:00,33.5
12/13/2012 16:00:00,33.64
12/14/2012 16:00:00,33.57
12/17/2012 16:00:00,33.74
12/18/2012 16:00:00,33.91
12/19/2012 16:00:00,33.8
12/20/2012 16:00:00,34.01
12/21/2012 16:00:00,33.85
12/24/2012 16:00:00,33.84
12/26/2012 16:00:00,33.73
12/27/2012 16:00:00,33.71
12/28/2012 16:00:00,33.46
12/31/2012 16:00:00,33.74
1/2/2013 16:00:00,33.97
1/3/2013 16:00:00,34.09
1/4/2013 16:00:00,34.08
1/7/2013 16:00:00,33.97
1/8/2013 16:00:00,34.04
1/9/2013 16:00:00,34.57
1/10/2013 16:00:00,34.86
1/11/2013 16:00:00,34.81
1/14/2013 16:00:00,34.86
1/15/2013 16:00:00,34.91
1/16/2013 16:00:00,34.97
1/17/2013 16:00:00,35.27
1/18/2013 16:00:00,35.25
1/22/2013 16:00:00,35.75
1/23/2013 16:00:00,35.5
1/24/2013 16:00:00,35.52
1/25/2013 16:00:00,35.69
1/28/2013 16:00:00,36.46
1/29/2013 16:00:00,36.31
1/30/2013 16:00:00,36.05
1/31/2013 16:00:00,36.38
2/1/2013 16:00:00,36.3
